"1","13097jam","1/30/97 Jam","The Disco Biscuits",,,,"2"
"2","actob","Aceetobee","Jon Gutwillig","Well, everyone's talking 'bout what they know.
When tomorrow's where I want to go.
And everybody's talking 'bout who's their man.
As we're finding our way to the promise land.

But things just aren't as they seem to be,
And one day you're all locked up,
The next day you're free...

And it's dark outside.
All alone and it might slide by,
But now the king is gone,
And here we are Zex Sea,
In Aceetobee.","transcribed by Rich Steele

(intro/main riff)

E            8 5 8 5 7
B        5   5 5 5 5 5 5 5 > 7
G        5   5 5 5 5 5 5 5 > 7
D 5(sl)7   7 7 7 7 7 7 5 5 > 7
A
E            (use palm mutes in between chords)

(play similar riff over the 'well things just aren't as they seemed to 
be', but using a D7 chord voicing instead)

E
B        5  7 5 5   7 5  5 5 5 > 7
G        5  5 5 5   5 5  5 5 5 > 7
D 5(sl)7    7 7 5   7 7  5 5 5 > 7
A
E




(riff after the Eb > Ebm buildup)
                                        F#
E                                        2
B        6(sl)4                          2
G 3(sl)5        3 3  2 2 2(h)3           3
D                              5 3       4
A                                  5 4 4 4
E                                        2

E  2
B  2  4
G  3  3
D  4  5  (play 3 times,
A  4  6   then lead into 
E  2     this riff over a Abm7 > C#)

E       4
B        4   6
G         4  6 
D    4       6
A   6        4
E  4 

then......

   (the immortal ac2b riff :)

  Eb                        F#            
E
B 8~ 8 9 11 9 9(h)11(p)9(p)8 7~  9 11 9 9(h)11(p)9 8~
G
D
A
E

this riff is played again during the ending jam, where jon does this 
ascending type riff that follows that riff that goes something like this:

E
B 12  12  12  12         14  14  14  14(sl)16
G   11  11  11  11 (sl)13  13  13  13
D
A
E

  (the end is jammed over a Eb > F# with that B > C# > Eb added at the end 
of each phrase)",,"0"
"3","afro","Afro Blue","Mongo Santamaria",,"transcibed by Rich Steele

(main riff)

E
B
G
D   10 6 8  6 8 6       10 6 8  6 8 6
A 8               8   8               8
E

E
B
G
D     5                 5
A 6 6   6  4 6 8    6 6   6  4 6 8
E",,"1"
"4","akira","Akira Jam","The Disco Biscuits",,,,"2"
"5","alicejam","Alice In Wonderland Jam",,,,,"2"
"6","allblues","All Blues","Miles Davis",,,,"1"
"7","alumni","Alumni Blues","Phish",,,,"1"
"8","antelope","Run Like An Antelope","Trey Anastasio",,,,"1"
"9","ape","Aquatic Ape","Marc Brownstein","Woo-hoo!

Webs on our hands and webs on our toes
Lost all our hair but still we breathe through the nose
Hunts in the water, carnivorous ape
Swims like a porpoise, but is simian-shaped
Aquatic ape
Aquatic ape
Aquatic ape
Aquatic ape

(chorus used to be:
Aquatic Ape
Swimmin' in the water with erotical grape
Erotic Grape
Swimmin' in the water with aquatical ape)

Comes out of the streams and into the lake
We're having fish for dinner, for heaven's sake
And after dinner, we'll pick some fruit
And then we'll go back, bring your swimsuit

I met you in the street (yeah) and you know who I am
Took you back to my place where we started to jam
I looked in your eyes... then I realized
Your head's pretty big, but not as big as the sky
(used to be '...as big as your thighs')",,,"0"
"12","awol","Awol's Blues","Jon Gutwillig","When my baby said she loved me,
Why did I just not care?
When she damn well got up and left me,
Why didn't I keep her here?
Well I never had the heart to leave her.
Something else just kept me there.

Then came Awol with the lovelies.
Me'n Awol go way back when.
Back before I knew my lady,
Me and Awol were the best of friends.
He said that when we get in the swing of things,
We'll be looking at some perfect 10s.

Well I used to love a lady,
But I don't know what went wrong!
Whoa no!

I used to love that lady
But I don't know what went wrong
Whoa, no!

And I never had the heart to leave her
But she left me on her own",,,"0"
"13","badlove","Bad Love","Eric Clapton",,,,"1"
